253.02,Car mechanics,Mécaniciens en automobiles,,,Mecânica de carros,إصلاح السيارات,Автослесарь,Mecánicos automovilistas,自動車整備,汽车修理
291.03,Stock/warehouse keeping,"Magasiniers, manutentionnaires",,,Conservação de estoque/armazém,أمناء المستودعات، تفريغ البضائع,Логистика/складской работник,Almaceneros y operarios de almacén,卸問屋,库存储备/仓库物资保管
311.04,Mechanical engineering,Ingénieurs en machines,,,Engenharia Mecânica,هندسة الآلات,Инженер,Ingenieros en maquinarias,機械技師,机械工程
412.04,Painting and decorating,"Peintres, tapissiers",,,Pintura e decoração,الدهن والتزويق,Живопись и дизайн,Pintores y tapiceros,塗装,油漆及装潢
521.01,Advertising ,Spécialistes en publicité,,,Propaganda,الدعاية والإعلان,Реклама,Especialistas en publicidad,広告,广告业
521.02,Public relations,Spécialistes en relations publiques,,,Relações públicas,علاقات عامة,Пиар,Especialistas en relaciones públicas,広報,公关
521.03,Marketing,Spécialistes en marketing,,,Marketing,تسويق ,Маркетинг,Especialistas en mercadotecnia,マーケティング,市场营销
532.04,Driving school instruction and related,Moniteurs d'auto-école et experts en automobiles,,,Autoescola,مدارس تعليم السياقة وتوابعها,Инструктор в автошколе,Monitores en auto-escuelas y expertos en automóviles,自動車教習所の教官、自動車専門家,驾校教学及相关职业
711.04,Human resources management,Spécialistes du personnel,,,Gerenciamento de recursos humanos,إدارة شؤون الموظفين,Кадры,Especialistas en personal,人事,人力资源管理
721.02,Public administration,Fonctionnaires d'administration,,,Administração pública,الإدارة العمومية,Общественное управление,Funcionarios de administración,公共経営,公共管理
721.03,Accountancy,Comptables,,,Contabilidade,مُحاسبة ,Бухгалтер,Contadores,会計士,会计
721.04,Property sales and management,Spécialistes en immobilier et gérants,,,Venda de propriedades e gestão,بيع العقارات وإدارتها ,Риэлтор,Especialistas inmobiliarios y gerentes,不動産販売・管理,物业销售及管理
751.01,"Judges, prosecutors","Juges, procureurs",,,"Juízes, procuradores",القضاء والإدعاء,"Судьи, прокуроры","Jueces, procuradores",裁判官、検察官,法官、检察官
751.02,Court clerks,Greffiers,,,Tabeliões,موظفو المحاكم,Помощник судьи,Secretarios judiciales,裁判所書記官,法院书记员
751.04,Other judicial work,Autres représentants de la justice et conseillers juridiques,,,Outro trabalho judicial,وظائف قضائية وقانونية أخرى,Другие юридические профессии,Otros representantes de la justicia y consejeros jurídicos,その他司法関連,其他司法工作
812.01,Librarian,Bibliothécaires,,,Bibliotecário,مكتبيون ,Библиотекарь,Bibliotecarios,司書,图书馆管理员
822.01,Acting,Acteurs,,,Ator,التمثيل ,Актеры театра и кино,Actores,俳優,演艺业
824.07,Decorator/ window dresser,"Décorateurs, étalagistes",,,Decorador,الديكور وتزيين النوافذ,Декоратор/дизайнер,"Decoradores, escaparatistas",装飾家,装饰设计师/商品橱窗设计师
824.09,Interior design,Architectes d'intérieurs,,,Design de interiores,تصميم داخل البيوت ,Пространственный дизайн,Arquitectos de interiores,インテリアデザイン,室内设计
831.02,Specialist education,Educateurs spécialisés,,,Educação especialista,مُربّون خاصون ,Специалист в области образования,Educadores especializados,専門家教育,专门人才培训
843.01,High school teacher,Enseignants des classes supérieures,,,Professor de escola secundária,مدرسو المعاهد الثانوية,Профессор высшей школы,Profesores de clases superiores,高校教諭,高中老师
844.01,Primary school teacher,Instituteurs (école primaire),,,Professor de escola primária,معلمو المدارس الإبتدائية,Учитель начальной школы,Profesores de educación primaria,小学校教諭,小学教师
845.01,Nursery school teacher,Educatrices de la petite enfance,,,Professor de escola maternal,مربيات الحضانة ورياض الأطفال ,Учитель старших классов,Educadoras de preprimaria ,幼稚園教諭,幼教
846.04,Design and handicrafts teacher,"Professeurs de dessin, maîtres d'activités créatrices manuelles",,,Professora de design e artesanato,أساتذه الرسم والأعمال اليدوية ,Учитель труда,"Profesores de dibujo, maestros de actividades creadoras manuales",デザイン・手工芸教師,手工艺教师
846.05,Physical education teacher,Professeurs de gymnastique et d'éducation physique,,,Professor de educação física,مدرسو التربية البدنية ,Учитель физкультуры,Profesores de gimnasia y educación física,体育教師,体育老师
851.01,Economic sciences,Professions des sciences économiques,,,Ciências econômicas,مهن العلوم الإقتصادية ,"Экономические науки

",Profesiones de ciencias económicas,経済学,经济学
851.03,Psychologists and career advisors,Psychologues et conseillers en orientation professionnelle,,,Psicólogos e conselheiros de carreira,أطباء نفسانيون ومرشدون في مجال التوجيه المهني ,Психология и профориентация,Psicólogos  y consejeros en orientación profesional,心理学者、キャリアアドバイザー,心理学家和职业顾问
853.01,Biologists,Biologistes,,,Biólogos,بيولوجيون,Биолог,Biólogos,生物学者,生物学家
861.01,Doctors,Médecins,,,Médicos,أطباء ,Врач,Médicos,医師,医生
861.02,Medical assistants,Assistants médicaux,,,Assistentes médicos,مساعدو أطباء,Младший медперсонал,Asistentes médicos,医療事務,医师助理
861.03,Pharmacists,Pharmaciens,,,Farmacêuticos,صيادلة ,Фармацевты,Farmacéuticos,薬剤師,药剂师
862.01,Physiotherapists and occupational therapists,"Physiothérapeutes, ergothérapeutes",,,Fisioterapeutas e terapeutas ocupacionais,معالجون طبيعيون ووظيفيون,Физиотерапия,"Fisioterapeutas, ergoterapeutas",理学・作業療法士,物理治疗师及职业治疗师
862.03,Alternative medicine and naturopathy,"Guérisseurs, naturopathes",,,Medicina alternativa e naturopatia,الطب البديل والعلاج الطبيعي,Альтернативная медицина и натуропатия,"Curanderos, naturópatas",代替医療・自然療法士,替代医学和自然疗法
862.04,Opticians,Opticiens,,,Ópticas,طب العيون ,Оптика,Ópticos,眼鏡技師,验光配镜师
862.07,Other therapeutic and medical professions,Autres professions de la thérapeutique et de la technique médicale,,,Outras profissões terapêuticas e médicas,مهن طبية وعلاجية أخرى,Другие медицинские и терапевтические профессии,Otras profesiones de la terapéutica y de la técnica médica,その他療養・医療関係,其他治疗及医疗职业
862.08,Medical laboratory work,Laborantins médicaux,,,Trabalho de laboratório médico,العمل في المختبرات الطبية,Лаборант,Técnicos de laboratorios médicos,臨床検査技師,医疗化验
864.01,Veterinary surgeons,Vétérinaires,,,Cirurgiões veterinários,بياطرة,Ветеринар,Veterinarios,獣医,兽医
865.03,Psychiatric nursing,Infirmiers en psychiatrie,,,Enfermagem psiquiátrica,التمريض النفسي,Психиатр,Enfermeros en psiquiatría,精神科看護,精神科护理
865.04,Qualified nurses,Infirmiers diplômés,,,Enfermeiros qualificados,ممرضون متحصلون على شهائد,Старший медперсонал,Enfermeros diplomados,有資格看護師,合格执业护士
865.07,Other health care professions,Autres professions soignantes,,,Outras profissões de cuidados de saúde,وظائف أخرى في مجال الرعاية الصحية,Другие профессии в области здравоохранения,Otras profesiones de la salud,その他ヘルスケア,其他医疗保健职业
